     1	108	6	70	2	
     2	108	1	3	71	
     3	112	4	2	72	
     4	105	5	7	3	
     5	102	10	6	4	
     6	112	73	5	1	
     7	132	8	4	11	
     8	115	9	24	7	
     9	132	21	10	8	
    10	116	74	9	5	
    11	132	7	12	16	
    12	105	17	11	13	
    13	101	12	20	14	
    14	116	13	15	75	
    15	132	16	14	22	
    16	115	11	23	15	
    17	112	76	18	12	
    18	108	77	17	19	
    19	108	18	78	20	
    20	112	19	13	79	
    21	131	29	25	9	
    22	131	15	34	30	
    23	421	35	16		
    24	421	8	35		
    25	104	26	21	44	
    26	109	27	80	25	
    27	103	46	28	26	
    28	109	81	27	29	
    29	104	28	47	21	
    30	104	22	38	31	
    31	109	30	32	82	
    32	103	33	31	54	
    33	109	34	83	32	
    34	104	41	22	33	
    35	501	24	37	36	23
    36	401	35			
    37	401	35			
    38	154	86	30	56	57
    39	114	58	52	85	
    40	241	87			
    41	154	89	90	91	34
    42	118	94	114	119	
    43	123	49	68	62	
    44	154	25	111	112	110
    45	111	128	99	100	
    46	153	103	105	104	27
    47	154	125	29	124	127
    48	211	65			
    49	124	133	93	43	
    50	241	59			
    51	241	55			
    52	241	39			
    53	244	120			
    54	153	98	32	97	96
    55	110	87	85	51	
    56	211	38			
    57	211	38			
    58	113	116	59	39	
    59	114	50	58	87	
    60	119	93	63	61	
    61	107	60	62	106	
    62	124	43	61	122	
    63	411	60	65		
    64	152	102	132	130	131
    65	151	63	123	107	48
    66	241	108			
    67	241	109			
    68	301	84	43	102	
    69	241	99			
    70	241	1			
    71	241	2			
    72	241	3			
    73	241	6			
    74	241	10			
    75	241	14			
    76	241	17			
    77	241	18			
    78	241	19			
    79	241	20			
    80	241	26			
    81	241	28			
    82	241	31			
    83	241	33			
    84	231	68			
    85	106	39	55	134	
    86	211	38			
    87	106	59	40	55	
    88	142	114	113	121	
    89	211	41			
    90	211	41			
    91	211	41			
    92	241	93			
    93	107	92	49	60	
    94	242	42			
    95	242	119			
    96	211	54			
    97	211	54			
    98	211	54			
    99	110	69	45	109	
   100	122	45	102	101	
   101	111	100	108	129	
   102	100	68	100	64	
   103	211	46			
   104	211	46			
   105	211	46			
   106	241	61			
   107	211	65			
   108	110	109	101	66	
   109	110	99	67	108	
   110	211	44			
   111	211	44			
   112	211	44			
   113	601	88	116		
   114	120	117	42	88	
   115	311	121	116	118	
   116	161	113	126	115	58
   117	243	114			
   118	221	115			
   119	117	42	95	120	
   120	121	119	121	53	
   121	141	88	120	115	
   122	245	62			
   123	211	65			
   124	211	47			
   125	211	47			
   126	201	116			
   127	211	47			
   128	241	45			
   129	241	101			
   130	211	64			
   131	211	64			
   132	211	64			
   133	245	49			
   134	241	85			
